"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    
          96,      0.2057732925,     -0.6012278622,       1.674170855,       1.043639765,       4.431670906,      -10.87166834,   2.457208788e-08,   5.637320893e-06,       6.513393354,       10.50106262,       10.49791814
          97,      0.2058826404,     -0.5322725746,       1.794291309,       1.532969934,       4.909653087,      -10.85435049,   2.481759989e-08,   5.677986864e-06,       6.578527287,       10.60607325,       10.60267974
          98,      0.2061735775,     -0.5204244903,       1.861025682,       1.637983856,       4.587499649,      -10.84134615,   2.506556403e-08,    6.09325047e-06,       6.578527287,       10.71213398,        10.7084497
          99,      0.2063659364,     -0.5017296016,       1.869925188,       1.677302591,       4.567530384,      -10.89771938,   2.531600456e-08,   5.682045247e-06,       6.578527287,       10.81925532,       10.81532333
         100,      0.2066294682,     -0.5183704151,       1.769535446,       1.489126548,        4.89289166,      -10.91089192,   2.556894694e-08,   5.762853102e-06,                 1,                 1,                 1
         101,      0.2067727105,     -0.4779203444,       1.891508048,        1.68397017,       4.549232015,      -10.96365207,   2.363259655e-09,   5.560321189e-07,                 1,              1.01,       1.009995158
         102,      0.2064887654,     -0.5377622783,       1.865768652,       1.684460826,       4.548029018,      -10.99783749,   2.386888773e-09,   5.086570712e-07,                 1,            1.0201,       1.020090621
         103,      0.2062569065,     -0.6254365885,       1.666385038,       1.516811417,       4.902250259,      -11.01975773,   2.410754061e-09,   5.346627682e-07,                 1,          1.030301,       1.030287023
         104,       0.205995985,     -0.6238009354,       1.830820218,       1.669919458,       4.540308079,      -11.03587592,   2.434857904e-09,     5.6377011e-07,                 1,        1.04060401,       1.040584991
         105,       0.205733751,     -0.6074775875,       1.813909287,       1.664512103,       4.540132852,         -11.05034,   2.459202698e-09,   5.518390083e-07,                 1,        1.05101005,       1.050985946
         106,      0.2054815165,     -0.6182515297,       1.798975725,       1.660307843,       4.533086444,      -11.05919716,   2.483790859e-09,   5.806512123e-07,                 1,       1.061520151,       1.061491671
         107,      0.2052316357,     -0.6079019793,       1.788924311,       1.657253592,       4.540331825,      -11.06650611,   2.508624824e-09,   5.696287098e-07,                 1,       1.072135352,       1.072101685
         108,      0.2049866539,     -0.6049669363,       1.806343116,       1.660624063,       4.532767908,      -11.06619122,   2.533707051e-09,   6.181235572e-07,                 1,       1.082856706,       1.082818187
         109,       0.204775083,     -0.6090697311,       1.802141183,       1.659370962,       4.532639004,      -11.07171063,   2.559040024e-09,   6.335378457e-07,                 1,       1.093685273,       1.093641854
         110,      0.2045403429,     -0.5997428387,       1.809218651,       1.660587708,        4.53105705,      -11.07639428,   2.584626249e-09,   6.357841113e-07,                 1,       1.104622125,       1.104573758
         111,      0.2043038619,     -0.5993962518,       1.818708545,       1.663847861,       4.526145511,      -11.08098151,   2.610468258e-09,   6.472615634e-07,                 1,       1.115668347,       1.115614581
         112,      0.2040760346,     -0.6065722387,       1.800585824,       1.659189759,       4.536218493,      -11.08410982,   2.636568608e-09,   6.532873965e-07,                 1,        1.12682503,       1.126765813
         113,      0.2038542966,      -0.598884439,       1.793298143,       1.657440916,         4.5413294,       -11.0842582,   2.662929882e-09,   6.780645874e-07,                 1,        1.13809328,       1.138028137
         114,      0.2036556261,     -0.5587718353,          1.829481,        1.66556367,       4.526131653,      -11.07857291,   2.689554688e-09,   6.526524058e-07,                 1,       1.149474213,       1.149403037
         115,       0.203464702,     -0.5754257363,       1.833637379,       1.666652473,       4.522152853,      -11.08943723,   2.716445659e-09,    6.81614889e-07,                 1,       1.160968955,       1.160891729
         116,      0.2032508778,     -0.5834245566,       1.821413401,       1.663732034,        4.53125727,      -11.09571353,   2.743605457e-09,   6.608400708e-07,                 1,       1.172578645,       1.172494877
         117,      0.2030389074,     -0.5650872487,       1.830290473,       1.665630179,       4.528575604,       -11.1018825,   2.771036768e-09,   6.760223751e-07,                 1,       1.184304431,       1.184214868
         118,       0.202893862,     -0.5808981692,       1.822745397,       1.663579574,        4.53154535,      -11.10767166,   2.798742308e-09,   6.731068088e-07,                 1,       1.196147476,       1.196051238
         119,      0.2026937509,     -0.5690861873,       1.822740464,       1.664204168,       4.529933956,      -11.12585004,   2.826724815e-09,   6.955728526e-07,                 1,        1.20810895,       1.208005963
         120,      0.2024774138,     -0.5954373473,       1.637626894,       1.494359713,       4.908625321,      -11.11175635,    2.85498706e-09,   7.010081223e-07,                 1,        1.22019004,       1.220080624
         121,      0.2026373557,     -0.5782174872,       1.829275654,       1.666114113,        4.52804228,      -11.11662749,   2.883531838e-09,   6.905353283e-07,                 1,        1.23239194,       1.232276085
         122,      0.2024156752,     -0.5652459413,       1.821211657,       1.664764849,       4.532352717,       -11.1185442,   2.912361973e-09,   7.188378415e-07,                 1,        1.24471586,       1.244592596
         123,      0.2021926226,     -0.5974505286,       1.651091385,       1.503542169,       4.900085301,      -11.10957429,   2.941480317e-09,   7.435979082e-07,                 1,       1.257163018,       1.257032655
         124,      0.2019685747,     -0.5631729529,       1.832442729,       1.666506836,       4.533085002,      -11.15145096,    2.97088975e-09,   7.150236106e-07,                 1,       1.269734649,       1.269597187
         125,      0.2017498419,     -0.5728180993,       1.811134821,       1.660295615,       4.533842587,      -11.15309338,   3.000593183e-09,   7.084082535e-07,                 1,       1.282431995,       1.282286868
         126,      0.2015500012,     -0.5390433546,       1.836469899,       1.666617993,        4.52194509,      -11.13663672,   3.030593554e-09,   7.378118216e-07,                 1,       1.295256315,       1.295103465
